internal_id,sign_id,numbering_system,description,parpola_id,wells_ids,mahadevan_ids,parpola_allographs,icit_function,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,n_feature_dims
218d494f-ee7d-50cb-94f4-b7e3d3edbae4,P307,parpola_1982,"Box with open top, diagonal line coming off top right and outward. Bottom has a small rect with vertical lines",P307,W329,M191,V362,,2,0.0,1.0,0.0,True,1
04ea05a8-2cd5-522e-b46d-1509d34d13d3,P308,parpola_1982,"M with the bottom of the legs connected by a horizontal line, and vertical lines connected at midpoint by horizontal line",P308,W335,M192,V075,,0,0,0,0,False,1
b07ff8b1-43aa-5626-8814-bc0e959b8067,P309,parpola_1982,"M with the bottom of the legs connected by horizontal lines, and vertical line decoration",P309,W336|W337|W338,M193,V076,,22,0.0,0.0455,0.9545,True,4
a1fd05bd-c4ad-5f9d-bf86-37109e07e100,P310,parpola_1982,Simple U with no other decoration,P310,W700,M328,V246|V548,LOG,76,0.6974,0.1053,0.1974,True,2
b464ed81-b3fb-50a2-80b4-cd5d093dcd4f,P311,parpola_1982,U with two small vertical strokes inside the top,P311,W701,M329,V201|V720,,1,0.0,0.0,1.0,True,2
8158562f-cd46-5df1-ae52-7ee119347f6a,P312,parpola_1982,U with three small vertical strokes inside the top,P312,W703,M330,V202|V707,,0,0,0,0,False,2
1cf68d90-88e4-53d0-910e-be3a3d889d51,P313,parpola_1982,U with several small strokes off the bottom,P313,W732|W734,M332,V359|V267,,2,0.0,0.0,1.0,True,2
fc935449-64a3-5ab3-9cbe-37ba5f9d8ec6,P314,parpola_1982,"U with several small strokes off the bottom, caret hat",P314,W731,M334,V088|V779,,0,0,0,0,False,2
ec1fb713-0813-576e-a19f-c02dfccb870c,P315,parpola_1982,Large 'V' with a tall vertical coming from the vertex (making a large bird foot),P315,,M365,V710,,0,0,0,0,False,0
f7e8c836-5c9d-5dce-a03b-ef452ecb3ffc,P316,parpola_1982,U with a long vertical stroke inserted into the gap of U,P316,W704|W705|W706|W707,M336,V197|V398|V532,NUM,212,0.0377,0.2736,0.6887,True,4
1dd0e671-b3ba-5e1b-affe-bae4fed1f075,P317,parpola_1982,"U with several small strokes off the bottom, vertical line with possible decoration at bottom inserted into the U",P317,W735|W736,M335,V407|V322,,0,0,0,0,False,3
2fe0e7f6-a030-5bbd-91d7-d57467dadd6e,P318,parpola_1982,U with upward-bowed line or wagon wheel near the bottom,P318,W712,,V283,,0,0,0,0,False,1
9928b51b-31fa-5fdb-bdb3-69dfe3699dd6,P319,parpola_1982,U with X going from side to side near the bottom,P319,W711,,V714|V746,,0,0,0,0,False,0
a904b6c2-fd09-536e-8eb3-48e4e7ca9505,P320,parpola_1982,"A cat's paw perhaps, two vertical strokes on each side, and four fingers, with fingers on one side a little shorter than the other",P320,W716|W717,M341,V203|V484,,37,0.0541,0.3784,0.5676,True,1
0910f57d-dce2-54aa-9e8c-33f31f165a92,P321,parpola_1982,"Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Three vertical lines off top horizontal. Capped by 'table'.",P321,W719,M339,V751,,0,0,0,0,False,3
4a3495ed-69d2-5865-85ea-01449cce4146,P322,parpola_1982,"Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Top is a sequence of small boxes",P322,W721,M338,V337|V705,,0,0,0,0,False,2
8df8250d-6f4d-553b-b8ad-7627e7bf79a4,P323,parpola_1982,U with 'tree' motif sprouting from the bottom,P323,W708|W709|W710,,V128|V776,,0,0,0,0,False,2
1fc685d1-fb18-5b29-90a2-7bea0ee1a30b,P324,parpola_1982,Classic jar symbol with two horizontal handles at the top of each arm pointed outward,P324,W740,M342,V204|V526,ITM,1366,0.6896,0.0037,0.3067,True,5
84a1f7bb-4416-5e0b-9a08-37d2cd51abaf,P325,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, single small vertical stroke inside mouth of jar",P325,W741,M343,V205|V209,,169,0.0118,0.0888,0.8994,True,5
4c7e9011-2632-51ad-b8a9-e96703d81d2b,P326,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, two small vertical strokes inside mouth of jar",P326,W742|W743|W744,M344,V206|V413,,31,0.0645,0.0968,0.8387,True,6
f98a2c66-77fa-5c3f-bf96-3f1a475b0cb3,P327,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth",P327,W745|W746|W747,M345,V208|V207|V414|V706,,18,0.0,0.3333,0.6667,True,6
953a50d7-d42b-52d0-801a-382fa04f443c,P328,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, four small vertical strokes in mouth",P328,W748,,V749,,0,0,0,0,False,6
1f0562cc-1e30-5f9e-9add-742648110df3,P329,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth. Three small strokes at bottom. Overlaid by a decorated caret",P329,W749,M346,V494|V774,,0,0,0,0,False,7
55b9c23e-b351-55bd-80be-b86a35387506,P330,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward. Inside has a wagon wheel at bottom, attached to a double headed pitchfork at top",P330,W751,,V367,,0,0,0,0,False,6
6915baa2-ccbb-5a5f-a587-6aac0efbecf1,P331,parpola_1982,"U with jar handles on left, trifurcated tree on right",P331,W750,M352,V386,,0,0,0,0,False,0
3f5691f9-bf56-5753-8c68-41aeca401809,P332,parpola_1982,U with decorated branching at top,P332,W752|W760,M347|M358,V248|V210|V211|V276|V395|V428|V480,TMK,142,0.007,0.0211,0.9718,True,4
f1fcb387-582e-590c-ae49-e686d167d718,P333,parpola_1982,"U with trifurcated trees for handles, very low X connecting the U legs near the bottom",P333,W761,M357,V364,,0,0,0,0,False,0
592e9e31-2ae4-515b-b6a6-7cc821be6a5f,P334,parpola_1982,"U with trifurcated trees for handles, very low caret in outline with small diamond in the tip",P334,,M356,V752,,0,0,0,0,False,0
9c4962ac-f78d-5115-85f0-8af7b4054bec,P335,parpola_1982,"U with trifurcations at the tips, with full height vertical stroke on left, connected together with horizontal stroke",P335,W765,M349,V448,,2,0.0,0.0,1.0,True,1
a6641e1c-9a4b-5e1a-863a-06dd35f00bd1,P336,parpola_1982,"U with trifurcated trees for handles, small check-mark on right side",P336,W764,M350,V361,,0,0,0,0,False,0
3eda50be-c7e7-5bdc-9a5b-1b706cbe626b,P337,parpola_1982,"U with trifurcated trees for handles, wagon wheel circumscribed fully within",P337,W753,M355,V213|V281,,0,0,0,0,False,1
22a6d9f8-c3ad-5ab3-acd8-6254de5c7b89,P338,parpola_1982,"Upside down U, with five small vertical strokes within",P338,W931,M317,V401,,0,0,0,0,False,0
56f09206-9067-594e-99fd-3d264f3c729c,P339,parpola_1982,"Upside down U, with a wagon wheel above two small vertical strokes within",P339,W930,M393,V121,,0,0,0,0,False,1
