id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
1337,KN Da 1495 + 5175 + 5563 (117),D,a,-,1495,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 200 .B qo-te-ro pa-i-to
1338,KN Df 1496 + 7228 + 7244 + fr. (117),D,f,-,1496,,,,LM IIIA2 or LM IIIB,9,.A da-ṃị-ṇị-jo OVIS:m 22 .B i-ke-ke-ra ku-ta-to pe OVIS:m
1339,KN Dv 1500 + 8316 (117),D,v,-,1500,,,,LM IIIA2 or LM IIIB,2,ạ qi-ja-zo
1340,KN Dv 1501 (117),D,v,-,1501,,,,LM IIIA2 or LM IIIB,1,di-*79-nu
1341,KN Dv 1502 + 2017 (117),D,v,-,1502,,,,LM IIIA2 or LM IIIB,2,di-ki-nu-wo ra-ṣụ[-to
1342,KN Dv 1503 + 7183 (117),D,v,-,1503,,,,LM IIIA2 or LM IIIB,7,.A da-*22-to OVIS:m 150 .B di-wo u-ta-jo-jo
1343,KN Dv 1504 + fr. (117),D,v,-,1504,,,,LM IIIA2 or LM IIIB,9,.A OVIS:m 3̣7 OVIS:f 3̣ .B di-de-ro ẹ vac.
1344,KN Dv 1505 (117),D,v,-,1505,,,,LM IIIA2 or LM IIIB,1,di-za-so
1345,KN Dv 1506 (117),D,v,-,1506,,,,LM IIIA2 or LM IIIB,1,di-za
1346,KN Db 1507 (117),D,b,-,1507,,,,LM IIIA2 or LM IIIB,9,.A OVIS:m 38 OVIS:f 6̣2̣ .B na-wi-ro pa-i-to vac.
1347,KN Mc(1) 1508 + 1564 (-),M,c,1,1508,,,,-,18,.A *150 16 CAP:f 10 .B da-*22-ti-jo CORN 12 *142 M 6 v.↓ OVIS:f 6̣3̣ ọ o-pi C̣ỌṚṆ
1348,KN Dv 1509 + 7077 (117),D,v,-,1509,,,,LM IIIA2 or LM IIIB,7,.A we-we-si-jo-jo OVIS:m 120 .B o-ki-ro pa-i-to
1349,KN De 1510 + 7068 + 7265 (117),D,e,-,1510,,,,LM IIIA2 or LM IIIB,14,".A ̣ a-te-jo OVIS:m 9̣3̣ OVIS:f 20 .B ̣o-ra ,̣/ do-ti-ja o OVIS:m 7"
