entry_id,page,languages,n_languages,n_forms,raw_text
35,275,"Skt.,Te.,Ta.,Ma.,Kod.",5,17,"Ta. cafai matted locks of hair, plaited hair, bushy or shaggy hair. Ma. jafa, cata, cefa, cifa matted hair (as of ascetics). Ko, jerv- _Gerd-) chair) is bushy and uncombed, Ka, jae, jade, jadi, jede hair matted and twisted together, a braid of hair (of females). Kod. jade woman’s hair-plait, hood of cobra. Tu, jade, jedé matted hair, plaited hair, hood of a Serpent. Te. jada plaited hair, matted hair. / Skt. jafa- the hair, twisted together (as worn by ascetics, by Siva, and by persons in mourning) (Turner, CD/JAL, no. 5086); Burrow, BSOAS 35.539. DED 1897."
36,22,"Ma.,To.",2,6,"Ma. ayavu washing; ayavukaran, ayakan washerman. To. osx washing place in stream, Ka, asaga, agasa, agasiga washerman. DED 38."
37,22,"Te.,Ta.,Ma.,Ka.,Kod.",5,19,"Ta. acanku (acanki-) to stir, move, shake; acakku (acakki-), ayakku (ayakki-) to shake (tr.); acai (-v-, -nt-) to move, stir, go away; (-pp-, -tt-) to shake (¢r.), move, agitate; n. cud, sling for carrying or preserving Ola books; acaivu shaking, moving about, swing- ing; ayar (-v-, -nt-) to drive, as a chariot. Ma. ayakka, ayekka to send, let go, leave, slacken, loosen; ayaccal being loose, untied; ayappu sending, slackening; ayappikka to make to send, get oneself dismissed, take leave; ayayuka to slacken; aya, ayavu rumination; ayavu elasticity; ayaruka to chew the cud. Ka. asi to move, shake, tremble, dangle, pendulate; to throw away, scatter, disperse; asavasa haste, speed; asimisi without deliberation; asu quickness, haste; asumbu to cause to move about, shake, agitate. Kod. ay- (ayp-, ayc-) to send. Te. asiy-adu to move, tremble, hang as a pendulum. Kur, asrna to tremble. Cf. 137 Ta. atir. DED(S) 39."
38,22,"Ta.,Ma.",2,3,"Ta. acatu stupidity, fool; acatan foolish man, low person; acati silly woman. Ma. asatu meanness. Ka, asadu stupidity, stub- bornness; asada stupid man; fem. asadi. DED 40."
39,276,"Pkt.,Skt.,Tu.,Te.,Ta.,Ka.,Go.",7,11,"Ta. ctifakam bracelet; ctifa id., sacred eleocarpus bead enclosed in gold and hung round the neck in a gold band. Ka. stdaga, stdiga bracelet. Tu. cllda, ctidaga a kind of gold bracelet. Te. sUdigamu a kind of brace- Tet. Go. (Mu. Ma.) sta, (W.) cilra bracelet (Voc. 3464). / Turner, CDIAL, no. 4884, Skt. ciida- bracelet, Pkt. clida-, ciflaa- id. DED (S) 2246."
40,23,"Ta.,Ma.",2,2,"Ta. acal mosquito; acaval gnat; acaru minute insect that sticks on leaves and injures plants; acukuni small insect breeding and {ceding on plants; acuvuni a destructive insect; afial, afialam sp. of gnat. Ma. accu a little snail. DED(S) 42. 41 Ta, acaru mud, mire; acumpu soft mud, miry place; ayam mud, mire. Ma, ayam id.; ayaru manure, Te, asalu mud, mire. DEDS 6."
41,276,"Tu.,Te.,Ta.,Ma.,Ka.,Go.,Kuwi",7,7,"Ta. takkati balance on the principal of a steelyard; takkafai a pair of scales. Ma. takkiti. scales; cheating in weighing (or with App. 42). Ka. takkadi balance. Tu. takkadi large scales; takkadidaye one who cheats: in weighing (or with App. 42). Te. takkeda a balance. Go. (W.) takhari id. (Voc. 1641). Kuwi (S.) thakdi scales. /Mar. tikdi, tagdi balance, scales, and Turner, CDIAL, no. $714. From DED(S) 2437."
42,276,"Tu.,Te.,Ta.,Ma.",4,4,"Ta. takkati deceit. Ma. takkifi cheating in weighing (or with App. 41). Tu. takkadi- daye one who cheats in weighing (or with App. 41). Te. takkari rogue; takkali theft, deceit, trick; takkalikfdu thief, deceiver; takkidi deceit; takkul@du a trickish person. / Turner, CDIAL, no. 5489, *thagg-, *thakk-, e.g. Mar. thak thief, thakné to be deceived, Or. thakiba to deceive. From DED(S) 2437."
43,276,"Skt.,Te.,Ta.,Ma.,Ka.,Go.",6,12,"Ta. tumpi calabash, Lagenaria vulgaris. Ma. tumbam a long gourd, Lagenaria. Ka. tumbi, tumba L. vulgaris Ser. Te. tumbamu, tumbi, (B. also) tummi gourd vine. Go. (Mu.) tumma gourd, gourd vessel (Voce. 1748). / Turner, CDIAL, no. 5868, Skt. tumba-, tumbi- L. vulgaris. DED(S) 2733."
44,276,"Pkt.,Skt.,Tu.,Ta.,Ma.,Ka.",6,15,"Ta. ttn, tinam pillar, post, column, mainstay, support; (STD) diinu pillar. Ma. ttn post, pillar. Ka. tina stake, post. Tu. tina, tina id. /Turner, CDIAL, no. 13774, Skt. sthiina-, Pali Pkt. thina-. DED(S) 2780."
