id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
249.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
250.1,Harappa,M050,pār,maH,O measurer[√मस् क्विप् vms],1.0
250.2,Harappa,M167 M316,kur-kur,Anava,O beneficent one[RV],1.0
255.1,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
255.2,Harappa,M098 M678,āl-ōṭu,AkI,The wanderer[√अक् घञ् इनि],1.0
257.1,Harappa,M004 M194 M325 M060 M154,kēḷ-kaṭ-kur-kāṇṭāmirukam-kur,damanasya,of the subduer[MBh],1.0
257.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
258.1,Harappa,M098 M217 M050 M016,āl-kur-pār-kaḷiṟu,SamanI,The soothing one[MBh],1.0
259.1,Harappa,M098 M324 M289 M017 M154 M303 M230 M002 M385,āl-kur-kur-kai-kur-kur-kur-kuṉ-kur,rava-asamad-SamanI,The Roaring[√रु अच्] concordant[ŚBr] tranquil[KātyŚr इनि] one,1.0
260.1,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
260.2,Harappa,M098 M324 M194,āl-kur-kaṭ,SaniH,Śiva[W],1.0
261.1,Harappa,M210 M058 M062,kur-ke-erutu,mame,He roared (middle voice)[√मा लिट् 1s],1.0
264.1,Harappa,M098 M004 M011 M032,āl-kēḷ-kaḷiṟu-koL,satyI,Possessor of truth[RV][सत्य इनि],1.0
264.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
265.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
265.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
266.1,Harappa,M098 M324 M332 M605,āl-kur-intu-iṭam,narARi,The ones carrying(bows and arrows=Rudras)[√नॄ अच्][SR: iṣumadbhyaḥ],1.0
267.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
268.1,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
270.1,Harappa,M200 M316 M380,kur-kur-kur,BaRaH,The Roarer[√भण् अच्],1.0
270.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
273.1,Harappa,M098 M324 M111,āl-kur-kur,BARI,The Roarer[√भण् घञ् इनि],1.0
273.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
274.1,Harappa,M004 M188 M073,kēḷ-kur-kōṉ,mAya,O one who makes us die[√मी णिचि अच्],1.0
274.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
276.1,Karanpura,M086,oru,ref:35.1,,1.0
280.1,Harappa,M324 M172 M062 M002 M385,kur-kur-erutu-kuṉ-kur,ravamARa,O roaring one[√रु शानच्],1.0
280.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
281.1,Harappa,M098 M098,āl-āl,E,(an interjection)[MaitrS][ekakshara name of Śiva],1.0
282.1,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
282.2,Harappa,M217 M050,kur-pār,manaH,"The mind[RV; triad of prāṇa, manas, vāk]",1.0
284.1,Harappa,M090 M324 M103 M002 M385,aintu-kur-kol-kuṉ-kur,rava-Ana,O Roarers[√रु अच्] breath[T][=Prāṇa/Brahman],1.0
288.1,Harappa,M324 M230 M378,kur-kur-kur,rasan,O roarer[√रस् शतृ],1.0
