book,chapter,strophe,verse,n_words,padapatha_words_ws_joined
1,19,1,2,4,marudbhiḥ agne ā gahi
1,19,2,1,8,nahi devaḥ na martyaḥ mahaḥ tava kratum paraḥ
1,19,2,2,4,marudbhiḥ agne ā gahi
1,19,3,1,7,ye mahaḥ rajasaḥ viduḥ viśve devāsaḥ adruhaḥ
1,19,3,2,4,marudbhiḥ agne ā gahi
1,19,4,1,6,ye ugrāḥ arkam ānṛcuḥ anādhṛṣṭāsaḥ ojasā
1,19,4,2,4,marudbhiḥ agne ā gahi
1,19,5,1,7,ye śubhrāḥ ghora varpasaḥ su kṣatrāsaḥ riśādasaḥ
1,19,5,2,4,marudbhiḥ agne ā gahi
1,19,6,1,7,ye nākasya adhi rocane divi devāsaḥ āsate
1,19,6,2,4,marudbhiḥ agne ā gahi
1,19,7,1,6,ye īṅkhayanti parvatān tiras samudram arṇavam
1,19,7,2,4,marudbhiḥ agne ā gahi
1,19,8,1,7,ā ye tanvanti raśmibhiḥ tiras samudram ojasā
1,19,8,2,4,marudbhiḥ agne ā gahi
1,19,9,1,7,abhi tvā pūrva pītaye sṛjāmi somyam madhu
1,19,9,2,4,marudbhiḥ agne ā gahi
1,20,1,1,6,ayam devāya janmane stomaḥ viprebhiḥ āsayā
1,20,1,2,3,akāri ratna dhātamaḥ
1,20,2,1,7,ye indrāya vacaḥ yujā tatakṣuḥ manasā harī
1,20,2,2,3,śamībhiḥ yajñam āśata
1,20,3,1,5,takṣan nāsatyābhyām parijmānam sukham ratham
1,20,3,2,3,takṣan dhenum sabardughām
1,20,4,1,6,yuvānā pitarā punar satya mantrāḥ ṛjūyavaḥ
1,20,4,2,3,ṛbhavaḥ viṣṭī akrata
1,20,5,1,7,sam vaḥ madāsaḥ agmata indreṇa ca marutvatā
1,20,5,2,3,ādityebhiḥ ca rājabhiḥ
1,20,6,1,7,uta tyam camasam navam tvaṣṭuḥ devasya niṣkṛtam
