sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P223,parpola_1982,"Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle, with a small tree growing from the lower right",W457,M235,V343,2,1,0.0,1.0,0.0,True,mayig_features
P224,parpola_1982,"A 'Bowtie' motif. Or, an 'X' with vertical line connecting the left points, and same on right",W540,M214,V234|V235,0,0,0,0,0,False,mayig_features
P225,parpola_1982,"A 'Bowtie' motif. Or, an 'X' with vertical line connecting the left points, and same on right. Small vertical stroke in left side",W542,,V035,0,0,0,0,0,False,mayig_features
P226,parpola_1982,"Bowtie with another left-pointing triangle attached on the right, hatching throughout",W545,M215,V036,0,12,0.0,1.0,0.0,True,mayig_features
P227,parpola_1982,"A 'Bowtie' motif, but without the vertical line connecting the right points",W530,M225,V229|V298,0,0,0,0,0,False,mayig_features
P228,parpola_1982,"X with left points connected by vertical line, with another such X underneath, and a vertical bar connecting the cross-point of the two X's",W531|W533,M228|M309,V037,2,6,0.0,0.3333,0.6667,True,mayig_features
P229,parpola_1982,"A 'Bowtie' motif, but without the vertical line connecting the right points. Small 'v' coming off top right point",W554,M226,V032,0,0,0,0,0,False,mayig_features
P230,parpola_1982,"The 'pincer' motif. Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle",W550|W555,M216,V241|V033|V412|V593,4,119,0.0336,0.3277,0.6387,True,mayig_features
P231,parpola_1982,"The 'pincer' motif, with vertical stroke through the middle point",W556,M221,V240,1,8,0.125,0.875,0.0,True,mayig_features
P232,parpola_1982,"Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle. Two leaves coming out of the connecting point.",W560|W561,M219,V038|V583,1,3,0.0,0.6667,0.3333,True,mayig_features
P233,parpola_1982,"The 'pincer' motif, with two vertically stacked leaves intersecting at the middle point. Caged by four small vertical strokes",W562,M220,V564,1,0,0,0,0,False,mayig_features
P234,parpola_1982,"Left-pointing isocoles triangle on right, right-pointing isosceles triangle on left, with small part of left line removed in middle.",W551,M216,V350|V793,0,3,0.0,0.3333,0.6667,True,mayig_features
P235,parpola_1982,The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side. Pincer is missing at least one of the pincer teeth,W532,M227,V117,1,0,0,0,0,False,mayig_features
P236,parpola_1982,The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side.,,,V378,0,0,0,0,0,False,mayig_features
P237,parpola_1982,"X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other",W564,M223,V034,0,1,0.0,0.0,1.0,True,mayig_features
P238,parpola_1982,"X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other. Line with three downward lines coming off left",W565,M224,V249|V198,0,14,0.7143,0.0714,0.2143,True,mayig_features
P239,parpola_1982,An 'X' where each arm is decorated with wheat sheaves,,,V688|V689,1,0,0,0,0,False,mayig_features
P240,parpola_1982,An 'X' with no decoration,W645,M137,V122|V728,0,0,0,0,0,False,mayig_features
P241,parpola_1982,"An 'X' with no decoration, inside a cage of four small vertical strokes",,,V488,0,0,0,0,0,False,mayig_features
P242,parpola_1982,An 'X' with two vertical strokes inside each angle of the X,W680,M140,V124,0,0,0,0,0,False,mayig_features
P243,parpola_1982,An 'X' with a 'table' hat,W679,M139,V047,0,0,0,0,0,False,mayig_features
P244,parpola_1982,An 'X' with a 'caret' hat,W678,M138,V282,0,0,0,0,0,False,mayig_features
P245,parpola_1982,"An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other",W685,M141,V313|V393,0,0,0,0,0,False,mayig_features
P246,parpola_1982,"X with two vertical strokes through it, caged by 4 short pairs of vertical lines",W689,M143,V562,0,1,0.0,1.0,0.0,True,mayig_features
P247,parpola_1982,"X with two vertical strokes through it, caged by inverted parentheses",W688,M144,V560,0,1,0.0,1.0,0.0,True,mayig_features
P248,parpola_1982,"An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. All under a 'table' hat",,M142,V432|V791,0,0,0,0,0,False,mayig_features
P249,parpola_1982,"An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. Pitchfork head going across the center",W686,M145,V672,0,0,0,0,0,False,mayig_features
P250,parpola_1982,A vertical stroke with a smallish X centered on the top,W080,M158,V335,0,0,0,0,0,False,mayig_features
P251,parpola_1982,"An X on top of a vertical stroke, with a decorated triangle hanging off the upper right",W081,M160,V287|V803,1,5,0.0,0.0,1.0,True,mayig_features
P252,parpola_1982,A full-height vertical stroke with a smallish X near the top,,,V575,0,0,0,0,0,False,mayig_features
P253,parpola_1982,"An X near the top of a vertical stroke, with a caret hat",W083,M159,V085,0,2,0.0,1.0,0.0,True,mayig_features
P254,parpola_1982,Two or more crossed lines (line an X or *) with small perpendicular decorations (ovals? lines) at each tip,W683|W684,M146|M147,V125|V736,2,2,0.0,1.0,0.0,True,mayig_features
P255,parpola_1982,"Two nested greater-than symbols, touching two nested less-than symbols",W690,M149,V232|V712,0,1,0.0,1.0,0.0,True,mayig_features
P256,parpola_1982,An X but drawn in outline,W692,M150,V123|V507,1,64,0.0,0.8125,0.1875,True,mayig_features
P257,parpola_1982,An X but drawn in outline. Three small adjacent triangles affixed diagonally to the top right arm,W694,M151,V372,0,0,0,0,0,False,mayig_features
